(h)ari-	harusp		haruspex
fec-	fae	+1	faecula, faeculentus
fen-	fae	+1	faenarius, faenebris, faeneratio, faenerator, faeneratorius, faeneratrix, faenero, faenicularius, faeniculum, faenilia, faenisex, faenisicia, faenisicium, faenum, faenus, faenusculum
feru-	ferr	+1	ferrumen, ferruminatio, ferrumino
fet-	foe	+1	foeteo, foetidus, foetor, foetulentus, foetutina
figil-	figli	+1	figlinae
figul-	figli		figlinae
fist-	fest		festuca, festucatio, festuco
fore-	fori		foricula
fremeb-	fremib		fremibundus
fryg-	phry	+1	phrygio
fundol-	fundul		fundulum
futil-	futti	--1	futtilis, futtilitas
gar-	car		caryophyllon
gene-	geni		genista
glaeb-	gleba	--1	gleba
glaeb-	glebo	--1	glebosus
glaeb-	glebu	--1	glebula
gles-	glae	+1	glaesum
gluc-	cluc	--1	clucidatus
glut-	glit		glittus
gn-	na	--1	nascor, nauo
gna-	nau	--1	nauiter
grauid-	graued		grauedinosus
grem-	crem		cremialis, cremium
gumm-	cumm		cummitio
hab-	abu	--1	abunde
hal-	ali	--1	alica, alicarius, alicarius, alicastrum
hal-	alu	--1	alucinatio, alucinor
halof-	halop	+1	halophanta
hap-	apa	--1	apalus
hei-	eiu	--1	eiulatus, eiulito
hel-	elu	--1	elucus
herc-	erci	--1	erciscor
hordi-	horde		hordeaceus, hordearius
hum-	ume	--1	umecto, umectus
hum-	umi	--1	umidus
iaent-	ienta	--1	ientaculum
iai-	iei		ieiunitas
iant-	ient		ientaculum, iento
ieient-	iento	--1	iento
ill-	ili	--1	ilico
inadf-	inaff		inaffectatus
inb-	imb		imbalnities, imbarbesco, imbecille, imbecillitas, imbecillus, imbellia, imbellis, imberbis, imbibo, imbito, imbubino
incomprens-	incomprehe	--2	incomprehensibilis
indep-	indip		indipiscor
infid-	infun		infundibulum
infum-	infim		infimatis
inioc-	iniuc		iniucundus
inm-	imm		immaculatus, immadesco, immanis, immanitas, immaniter, immansuetus, immature, immaturitas, immaturus, immedicabilis, immedicatus, immeditate, immeditatus, immeio, immemor, immemorabilis, immemoratus, immemoria, immensitas, immensum, immensum, immensus, immeo, immerens, immerenter, immergo, immerito, immeritus, immersabilis, immetatus, immetuens, immigro, imminuo, imminutio, imminutus, immisceo, immiserabilis, immisericorditer, immisericors, immissarium, immissio, immitis, immitto, immixtus, immobilis, immoderate, immoderatio, immoderatus, immodeste, immodestia, immodestus, immodice, immodicus, immodulatus, immolatio, immolator, immolitus, immolo, immorior, immoror, immortalis, immortalitas, immortaliter, immortalitus, immotus, immoueo, immugio, immulgeo, immunditia, immundus, immunio, immunitas, immunitus, immurmuro, immusulus, immutabilis, immutabilis, immutabilitas, immutabiliter, immutatio, immutatus, immutesco, immutilatus, immuto
inr-	irr		irrado, irrasus, irrationabilis, irreligatus, irreligiose, irreligiosus, irremeabilis, irremediabilis, irremunerabilis, irreparabilis, irrepertus, irrepo, irreposcibilis, irreprehensus, irrepto, irrequiebilis, irrequietus, irresectus, irresolubilis, irresolutus, irrestinctus, irretio, irretortus, irretusus, irreuerens, irreuerenter, irreuerentia, irreuocabilis, irreuocatus, irridenter, irrideo, irridicule, irridiculum, irridiculus, irrigatio, irrigiuus, irrigo, irriguus, irrisio, irrisor, irrisus, irritabilis, irritabilitas, irritamen, irritamentum, irritatio, irritator, irritatus, irrito, irritus, irroborasco, irroboro, irrogatio, irrogo, irroro, irrubesco, irructo, irrugo, irrumabiliter, irrumator, irrumo, irrumpo, irruo, irruptio, irruptus, irraucesco
insap-	insip		insipiens
insup-	insub		insubtilis, insubtiliter
int-	ind		indusiatus, indusium
intellig-	intelleg		intellegentia
interkal-	intercal		intercalaris
inuol-	inuul		inuulnerabilis
ioc-	iec		iecusculum
ioc-	iuc		iucunditas, iucundus
ir-	hi	--1	hirundo
irq-	hir	--1	hirquitallus
isci-	isch	+1	ischiacus
kal-	cal		calumnia
kan-	can		canabae, candidatus, candidatus
kap-	cap		capitularium
kata-	cata		catafractarius
lagun-	lagon		lagonarius
linia-	linea		lineamentum
liter-	litte	+1	litterula
lub-	lib		libenter, libentia, libidinitas, libidinose, libidinosus, libido
luc-	loc		locusta
lunt-	lint		lintriculus
lynt-	lint		lintrarius
macch-	macha	--1	machaera
maii-	maie	--1	maiestus
malif-	malef		maleficus
maliu-	maleu		maleuolentia, maleuolus
mammi-	mamme		mammeatus
mancup-	mancip		mancipatio
mani-	manu		manubrium
manipl-	manipu	+1	manipularis, manipularis
manupl-	manipu	+1	manipularis, manipularius
matru-	matri		matrimonium
mel-	mel		mellina
meli-	medi		medipontus
men-	mae	+1	maenianum
metic-	metuc		metuculosus
mil-	smi	--1	smilax
mill-	mili	--1	miliarium, miliarius, miliens
moet-	muti	--1	mutinus
molt-	mult		multaticus
most-	mons	+1	monstro
mucc-	muco	--1	mucosus
multun-	multin		multinummus
murr-	muri	--1	muricidus
murt-	myrt		myrtatum, myrteolus, myrtetum
naeuol-	naeuul		naeuulus
nao-	nau		naufylax
nauph-	naufy	--1	naufylax
nec-	neg		neglectus, neglectus, neglegens, neglegenter, neglegentia, neglego
nouemd-	nouend		nouendialis
nubt-	nupt		nuptialis
nung-	nong		nongentesimus
obc-	occ		occaeco, occallesco, occensus, occento, occludo, occumbo, occurro, occurso, occuro
obed-	oboe		oboedientia
obg-	ogg		oggannio
obp-	opp		oppeto, oppexus, oppono, opprimo, opprobrium, opprobro, oppugnatio, oppugnator, oppugno
obscaen-	obsceni	--1	obscenitas
obscaen-	obscenu	--1	obscenus
obst-	obtr	--1	obtrudo
obtract-	obtrect		obtrectatio
occup-	occip		occipio
octag-	octog		octogesimus
ole-	olf	--1	olfactus
omm-	obm		obmento, obmisceo, obmolior, obmoueo, obmutesco
oport-	oppor	--1	opportune, opportunitas, opportunus
opr-	obr		obrepo
ops-	obs		obscaeuo, obscenus, obscuro, obscurus, obsecratio, obsecro, obsecula, obsecundo, obsequens, obsequenter, obsequiosus, obsequium, obsequor, obsero, obseruatio, obseruo, obsessor, obsianus, obsideo, obsidio, obsidium, obsigno, obsisto, obsitus, obsonator, obsonatus, obsonium, obsono, obsorbeo, obstetricius, obstetrix, obstino, obsto, obstrepo, obstringo, obstruo, obstupidus, obsum, obstipesco
opst-	obtr	--1	obtrudo
opt-	obt		obtaedescit, obtego, obtempero, obtendo, obtentus, obtero, obtestor, obticeo, obticesco, obtineo, obtingo, obtorpesco, obtorqueo, obtrectatio, obtrectator, obtrudo, obtrunco, obtueor, obtundo, obturamentum, obturbo, obturo, obtutus
or-	ho	+1	horiola
or-	au	+1	auresco, auricula, auricularius, auriga
ord-	hor	+1	hordeaceus, hordeum
ost-	ust		ustilis
ostri-	ostre		ostrearium, ostreosus
paen-	penu	--1	penuria
paeon-	paeon		paeonicus
pal-	pha	+1	phalangarius
palmo-	palmi		palmipedalis, palmipes
panu-	pani		panicula
passe-	passi		passiolus
ped-	pae	+1	paedagogus, paedicator, paedico, paedico, paedor
peii-	peie	--1	peiero
pel-	pae	+1	paelex, paelicatus
pell-	pael		paelex
pell-	perl		perlectio, perlucidus
pen-	pae	+1	paenultimus
periur-	peiuri	--1	peiurium
perl-	pell		pellecebra, pellicio
phal-	fala	--1	falarica
philu-	phily		philyra
plebic-	plebec		plebecula
plen-	blen		blennus
plos-	plau	+1	plausor, plaustrarius
plost-	plaus	--1	plaustralis
plot-	plau	+1	plautus
plurum-	plurim		plurimum, plurimus
poen-	paen		paenitentia, paeniteo
poll-	paul	+1	paullulus, paululum
pomoer-	pomeri	--1	pomerium
popl-	publ		publicus
praec-	preci	--1	precia
praecent-	praecant		praecanto
pret-	prec		precia
primo-	primi		primipilaris
ptis-	tisa	--1	tisana
pulcr-	pulch	+1	pulchritudo
pux-	pyx		pyxidicula
quadran-	quadria	+1	quadriangulus
quadri-	quadru		quadrupedans, quadrupedus, quadrupes, quadruplator, quadruplex, quadruplicato
quadrig-	quadrin	+1	quadringenti
quadru-	quadri		quadripertitus, quadriuium, quadriuius
quat-	quad		quadriduum
quoi-	cuiu	--1	cuiusnam
quot-	cott	--1	cottidianus, cottidie
quoties-	quotien	--1	quotienscumque
rag-	rha	+1	rhagadia
rec-	ric		riciniatus
recc-	reci	--1	recido
recon-	recom		recompono
reconl-	recoll		recolligo
redd-	redu	--1	reduco, redux
reum-	rheu	+1	rheumaticus
rin-	rhi	+1	rhinoceros
rud-	rau	+1	raudusculum
rus-	rur	+1	rursus
russ-	rurs		rursus
sad-	sed		sedum
saecl-	saecu	+1	saecularis
saep-	sepi	--1	sepia
sama-	same		samera
samb-	sabu	--1	sabucus
sanguinu-	sanguino		sanguinolentus
sapph-	sappi	--1	sappirus
sarcof-	sarcop	+1	sarcophagus
sarr-	sari	--1	sario
sarr-	serr		serracum
satur-	satyr		satyricus
saur-	sore	--1	sorex
scamm-	scamo	--1	scamonia
scaturig-	scaturri	+1	scaturriginosus
sep-	sae	+1	saepes, saepicula, saepimen, saeptum
septemt-	septent		septentriones
set-	sae	+1	saetiger, saetosus
seu-	seb	--1	sebacium
sexd-	sede	--1	sedecim
sifon-	sipho	+1	siphonarius
sil-	sel		seliquastrum
siph-	sipa	--1	siparum
sipon-	sipho	+1	siphonarius
sirp-	scir	+1	scirpea, scirpiculus
sisp-	sosp		sospes
sit-	set		setanius
sob-	sub		suboles
soll-	soli	--1	solistimus
solli-	solif	--1	soliferreum
spaer-	sphae	+1	sphaerita
spintyrn-	spinturn		spinturnix
spon-	spho	+1	sphondylus, sphondylion
sponge-	spongi		spongiosus
sterci-	stercu		sterculinum
sterqui-	stercul	--1	sterculinum
stili-	still	+1	stillicidium
subadr-	subarr		subarroganter
subads-	subass		subassentior
subc-	succ		succenturio, succerno, succido, succingulum, succlamo, succresco, succubo, succumbo
subgill-	suggill		suggillatio
subii-	subic	--1	subices
succ-	subc		subcurator
succed-	succid		succidaneus
sugill-	suggil	--1	suggillatio
sugr-	sugg		suggrunda
summ-	subm		submano, submergo, subministro, submisse, submissim, submissus, submitto, submotus, submoueo, submurmuro, submussus, submuto
sup-	sub		subsiciuus
supp-	supe	--1	supellex
sups-	subs		subscus, subsilio
supt-	subt		subtilitas, subtiliter, subtraho
supter-	subter		subterduco, subterfugio
surp-	subr		subripio
surrip-	subrip		subripio
suss-	subs		subsilio, subsulto
synod-	synho	+1	synhodus
techn-	techi	--1	techina
ted-	tae	+1	taeda
tegm-	tegi	+1	tegimen, tegimentum
tegum-	tegim		tegimen, tegimentum
tent-	temp		tempto
tent-	tens		tensus
thal-	tala	--1	talassio
thens-	thesa	--1	thesaurarius
thur-	tura	--1	turarius
tini-	tine		tineosus
tral-	tran	+2	translaticius, translatio, translatiuus, translatus, transloquor, transluceo, translucidus
tram-	tran		transmarinus, transmeo, transmigro, transmitto
transd-	traduc	--2	traduco
transs-	transc	--1	transcribo, transcripticius, transcriptio
transs-	transe	--1	transero
transs-	transi	--1	transilio
transs-	transp	--1	transpectus, transpicio
transs-	transu	--1	transumptio
tras-	tran	+1	transenna, transpectus
trau-	tran	--1	transuectio, transueho, transuersarius, transuersus, transuerto
tribul-	tribol		tribolus
tric-	trec		trecenties
uae-	uec		uecordia, uecors
uaes-	uesa	--1	uesania, uesanus
uem-	ueh	+2	uehemens, uehementer
uenterc-	uentric	--1	uentriculus
uigila-	uigili	+1	uigiliarium
uill-	uili	--1	uilica, uilicatio, uilico, uilico, uilicus
uinul-	uinol		uinolentia, uinolentus
uitri-	uitre		uitrearius
uiui-	uiue		uiueradix
unae-	unet	--1	unetuicesimani
unet-	unae	+1	unaetuicesima
uniet-	unaet		unaetuicesima
unq-	umq		umquam
uolg-	uulg		uulgaris, uulgarius, uulgatus, uulgo, uulgus
uoln-	uuln		uulnerarius, uulneratio, uulnero, uulnus
uolp-	uulp		uulpes, uulpinus
uolt-	uult		uultur, uultus
uolu-	uulu		uulua, uuluula
uors-	uers		uersicapillus, uersipellis, uersutus
utrob-	utrub		utrubique
zmaragd-	smaragd		smaragdus
