(h)ari-	harusp		haruspex
-num	ium	+1	Tauromenium
-nus	eus	--1	populneus
-nus	tan	0	Titan
-o	r	-2	criminor, expergiscor, imitor, adueneror
-odium	onium		septizonium
-oe	pi	-1	Arimaspi
-ola	ula		cellula
-olentus	ulentus		pisculentus
-olus	ulus		cliuulus, inuoluulus
-on	um		cinnamum, Sigeum, archetypum, arum
-on	to	0	Aristo
-ona	ana		cottana
-ona	nia	+1	Populonia
-onēs	ryon	-2	Geryon
-ope	pia	-4	Cassiepia
-opea	epia		Cassiepia
-or	to	-1	oscito, bubulcito, delecto, hieto, molesto, quirito, ructo, adiuto
-or	ro	-1	belligero, commurmuro, elucubro, honoro, munero, murmuro, pigro, admurmuro, auguro
-or	lo	-1	bello, latibulo, pugillo
-or	co	-1	commanduco, fabrico, fatisco, frutico, glisco, labasco, manduco, mendico, nutrico, proco, sacrifico, albico
-or	io	-1	conglacio, luxurio, radio, spolio
-or	no	-1	digno, hiberno, rumino, uermino
-or	po	-1	expalpo, participo
-or	uo	-1	fluctuo
-or	go	-1	indago, aurigo
-or	or		intueor
-oris	ecor		indecor
-oro	ero		pignero
-os	us		choreus, Halicarnasus, Heracleus, amethystus, acephalus, Bithynus, cammarus, catalecticus, chrysocarpus, clymenus, cyanus, Cyprus, dactylus, hendecasyllabus, heroicus, horaeus, hyoscyamus, isodomus, miurus, Molossus, monaulus, monogrammus, Naxus, obolus, Oxus, paliurus, paralius, physicus, Polyphemus, sophisticus, trimetrus, Achelous, adoptiuus, Aeacus, Anacreontius, Aspendius, atauus, atomus, Atticus, autopyrus, iambus, Ionicus
-ossis	exos	.	exos
-ous	hus	--1	Panthus
-paro	pero		aequipero
-partito	pertito		quadripertito
-parābilis	perabilis		aequiperabilis
-pertum	partum		antepartum
-plector	mplecto	--1	circumplecto
-plusio	plosio		supplosio
-purigo	rpurgo	--1	perpurgo
-quinus	rcinus	+1	hircinus
-quod	quot		aliquot
-quomque	icumque	--1	quicumque
-quonque	scumque	--1	quotienscumque
-quos	quus		obliquus
-quus	rcus	--1	hircus
-sideo	sedeo		circumsedeo
-sillus	xillus		pauxillus
-sio	tio		intentio
-so	uo	+1	exdorsuo
-spargo	spergo		circumspergo
-tae	tes		Aegates
-taria	teria		Pandateria
-taria	iaria	+1	ratiaria
-tarius	iarius	+1	ratiarius
-tensimus	ntesimus	--1	quadringentesimus
-ter	ter		sequester
-tia	tea		Necyomantea
-tor	rto	--1	praeuerto
-truo	ryon	--1	Amphitryon
-uclus	culus	+1	pediculus
-uculus	iculus		pediculus, anniculus
-uersum	uersus		quoquouersus
-ulter	liter	+1	difficiliter
-um	on		chalcanthon
-um	us		quoqueuersus, retrouersus
-um	te	-1	Tergeste
