Mazaces	              . A Numidian tribe.
Megara1	                      a
Melanippa	       {inflection=~ae; ~ē; ~ēs}
ccMerica	             uitis ~a
Midas	           (mythology) A Phrygian king who, as a reward from Bacchus, turned to gold all that he touched; he was punished for his insensitivity to Apollo's music by being given ass's ears.
Milo2	           A 
Mimalloneus	           Bacchantic.
Moesicus	           as Moesiāticus.
ccMoschicus	             mons ~us
Moyses	            Moses, the Jewish lawgiver.
ccMugio2	              porta (portae) ~onis
Mummianus	           Named after a Mummius.
ccMurcius	              metae ~ae
ccMyrtous	             mare ~um
Mys2	     {ge= Myos}
iivvMytilenensis	            = Mytilēnaeus.
Narbo	           (in full) 
ccNartes	             Interamnates ~es
Nasamonias	           Nasamonian.
Nasamonius	           Nasamonian; (in quotations, poet.) African, Libyan.
ccNicolaus	             palma ~i
Nioba	              Niobe, daughter of Tantalus, whose many children were killed by Apollo and Artemis because she boasted she was Leto's equal; she turned to stone with weeping. 
Nisus2	           (mythology) A king of Megara, betrayed by his daughter Scylla; he was turned into a sea eagle.
Nomades		               delf11
Nomas	{inflection=~adis; ~ados, pos= m. f.}
Nysigena	           Born on Mount Nysa, birthplace of Bacchus.
Oceanis	          , Oceanid.
Ops2	     {ge=Opis}
Opis		{variant_of=Ops2, ge=Opis}
Orchomenos	                           Nat.
ccOrcinianus	             sponda ~a
Otos	            One of the Giants.
Pagasicus	           as Pagasēius.
ccPallacina	             uicus ~ae 
ccPalmensis	             ager ~is
Panchaeus	           Panchāius.
Panda	            . A Roman goddess.
ccPandanus	             ~a porta
Panici	           (Humorous coinage to suggest 'bakers' with pun on (perhaps) 
Pannonis	           Pannonian.
Panope1	              One of the Nereids.
Pantica	           another name for Panda.
Paphlagonius	           Paphlagonian.
Paphos1	           
Paros	               One of the Cyclades.
Parthis	           Parthian.
Patara	             {number=mostly plural}
ccPaterclianus	             sellae ~ae
Paulinus	                      Suetonius Paulinus, governor of Britain ad 58-61.
Pelasgias	           Pelasgian.
Pelasgicus	           Pelasgian.
Pelasgis1	           Pelasgian.
Peleus1	           Forms 
Pelorias	           as Pelōriadēs.
Peloris1	           as Pelōrias.
Pergama	              . The citadel of Troy.
Persaeus	           {variant_of= Persēus2}
Persice	        In the Persian language.
Persis2	           Persian.
Perusinus	           Of, coming from, or connected with Perusia in Etruria; (m. pl. as noun) its inhabitants; (neut. as noun) an estate near Perusia.
ccPetelinus	             lucus ~us
Phaeacia	           (mythology) A land (sometimes identified with Corcyra) where Odysseus was entertained by King Alcinous.
iivvPhalanthinus	            = Phalanthēus.
Phoeniceus2	           Phoenician.
Phoenicius2	           Phoenician.
Phoenissa	             {pos=neut. adj.}
Phoenix2	           (mythology)
Phrygius	           Forms 
Phryx	           Forms 
Piericus	           Pierian 
Pithecusa	           
Pitthides	   {inflection=~ae}
Pluuialia	           One of the 
Podarce	           One of the Harpies.
Polydamanteus	           Belonging to Polydamas.
Polydoreus	           Belonging to Polydorus.
Populonia2	                  a  delf9
zzz
Porphyrion	           One of the giants.
Porsenna	                Lars~a
Potitus	           A 
Procrustes	           (mythology) An Attic robber who waylaid travellers and fitted them to his bed either by stretching their limbs or by lopping them.
Pulcher2	                  Clodius Pulcher, tribune 58 bc.
Punice	         In the Punic language.
Puniceus2	            Carthaginian, Punic; 
Pythicus	           Pythian, Delphic.
Quadrigarius3	           A 
Raudius	             campus ~us
Raudusculana	           = Rauduscula.
Raurica	           A 
