(h)ari-	harusp		haruspex
-ior	cio		nancio
-ior	tio		partio
-ior	nio		somnio
-ios	eus		Spercheus, Peneus
-is	er		acipenser
-is	ys		Capys, pelamys
-is	us		effrenus, hilarus, inanimus, limus, multiforus, multiiugus, opiparus, quadriiugus, semisomnus, Anapus, unanimus
-is	on		Sason
-is	is		tigris
-isco	esco		uetustesco, insenesco
-iscō	esco		insenesco
-isso	rizo		gargarizo
-itius	icius		nutricius
-ium	eum		gynaeceum, centaureum, euphorbeum, adoreum, alcyoneum, Amaltheum
-ium	num		sterculinum
-ium	lum		amphimallum
-ium	ion		batrachion, dracontion
-ius	ter		affluenter
-ius	eus		Pythagoreus, triticeus, arboreus, Carneadeus, Cauneus, corticeus, Democriteus, Diomedeus, farraceus, Homereus, Lyrceus, pannuceus, uinaceus, spondeus, Hermioneus
-ius	ris		tolutaris
-ius	rus		bucerus
-ius	mus		hippopotamus
-iēs	ens		pauciens, quadragiens, septiens
-iō	or		blandior, demolior, molior, sortior, adorior
-iō	pi		coepi
-iō	eo		percieo
-iō	io		sororio
-iōn	ius		Iasius, Icadius
-leos	laus		Philolaus
-litus	ithus		monolithus
-llaca	ilaca		porcilaca
-locus	oquus		grandiloquus, magniloquus
-lubet	libet		quilibet, quilibet, qualibet
-meitus	amitus		Catamitus
-moeroe	imurus		Aegimurus
-n	i		alioqui
-n	o		Croto, Croto, croto, Laco, phago, Plato, Polemo, Rubico, Tarraco
-n	s		delphinus
-naris	iaris		tricliniaris
-ne	ni		praefiscini
-nensis	iensis		Statoniensis
-nensus	onesus		Cherronesus
-nessus	onesus		Cherronesus
-neus	aeus		Ariadnaeus
-nio	neo		delineo
-ns	as		praegnas
-num	ium		Tauromenium
-nus	eus		populneus
-nus	tan		Titan
