SenConst	Seneca,DeConstantia_SenConst
SenIra1	Seneca,DeIra_SenIra1
SenPhaed	Seneca,Phaedra_SenPhaed
SenBrevi	Seneca,DeBrevitateVitae_SenBrevi
SenEpist	Seneca,AdLuciliumEpistulaeMorales_SenEpist
SenOtio	Seneca,DeOtio_SenOtio
SenApoco	Seneca,Apocolocyntosis_SenApoco
SenHerFu	Seneca,HerculesFurens_SenHerFu
SenProvi	Seneca,DeProvidentia_SenProvi
SenPolyb	Seneca,AdPolybiumDeConsolatione_SenPolyb
SenMedea	Seneca,Medea_SenMedea
SenAgamn	Seneca,Agamemnon_SenAgamn
SenBenef	Seneca,DeBeneficiis_SenBenef
SenHelvi	Seneca,AdHelviamMatremDeConsolatione_SenHelvi
SenPhoen	Seneca,Phoenissae_SenPhoen
SenClem2	Seneca,DeClementia_SenClem2
SenVitBe	Seneca,DeVitaBeata_SenVitBe
SenMarci	Seneca,AdMarciamDeConsolatione_SenMarci
SenClem1	Seneca,DeClementia_SenClem1
SenThyes	Seneca,Thyestes_SenThyes
PetronSa	Petronius,PetroniusSatiricon_PetronSa
SalHistF	Sallustius,FragmentaHistoriarum_SalHistF
SalJugur	Sallustius,Jugurtha_SalJugur
SalCatil	Sallustius,Catilina_SalCatil
CaesBG1	Caesar,BellumGallicum_CaesBG1
CaesBG3	Caesar,BellumGallicum_CaesBG3
CaesBG2	Caesar,BellumGallicum_CaesBG2
CaesBG6	Caesar,BellumGallicum_CaesBG6
CaesBG7	Caesar,BellumGallicum_CaesBG7
CaesBG5	Caesar,BellumGallicum_CaesBG5
CaesBG4	Caesar,BellumGallicum_CaesBG4
CaesBC1	Caesar,BellumCivile_CaesBC1
CaesBC2	Caesar,BellumCivile_CaesBC2
CaesBC3	Caesar,BellumCivile_CaesBC3
HorSerm2	Horatius,HorSermones_HorSerm2
HorSerm1	Horatius,HorSermones_HorSerm1
HorArsPo	Horatius,ArsPoetica_HorArsPo
HorEpodi	Horatius,Epodi_HorEpodi
HorSaecu	Horatius,CarmenSaeculare_HorSaecu
HorCarm1	Horatius,Carmina_HorCarm1
HorEpis1	Horatius,HorEpistulae_HorEpis1
HorCarm2	Horatius,Carmina_HorCarm2
HorEpis2	Horatius,HorEpistulae_HorEpis2
HorCarm3	Horatius,Carmina_HorCarm3
HorCarm4	Horatius,Carmina_HorCarm4
PlCapt	Plautus,Captiui_PlCapt
PlAsina	Plautus,Asinaria_PlAsina
PlAulul	Plautus,Aulularia_PlAulul
PlEpidic	Plautus,Epidicus_PlEpidic
PlBacch	Plautus,Bacchides_PlBacch
PlCasin	Plautus,Casina_PlCasin
PlCurcu	Plautus,Curculio_PlCurcu
PlAmphi	Plautus,Amphitruo_PlAmphi
TacAnn01	Tacitus,TacAnnales_TacAnn01
TacAnn15	Tacitus,TacAnnales_TacAnn15
TacAnn14	Tacitus,TacAnnales_TacAnn14
TacAnn16	Tacitus,TacAnnales_TacAnn16
TacAnn02	Tacitus,TacAnnales_TacAnn02
TacAnn03	Tacitus,TacAnnales_TacAnn03
TacAnn13	Tacitus,TacAnnales_TacAnn13
TacAnn06	Tacitus,TacAnnales_TacAnn06
TacAnn12	Tacitus,TacAnnales_TacAnn12
TacAnn04	Tacitus,TacAnnales_TacAnn04
TacAgric	Tacitus,TacAgricola_TacAgric
TacAnn11	Tacitus,TacAnnales_TacAnn11
TacAnn05	Tacitus,TacAnnales_TacAnn05
TacGerma	Tacitus,TacGermania_TacGerma
TacHist1	Tacitus,TacHistoriae_TacHist1
TacHist3	Tacitus,TacHistoriae_TacHist3
TacHist2	Tacitus,TacHistoriae_TacHist2
TacDialo	Tacitus,TacDialogusDeOratoribus_TacDialo
TacHist5	Tacitus,TacHistoriae_TacHist5
TacHist4	Tacitus,TacHistoriae_TacHist4
CatAgr	Cato,CatoAgricultura_CatAgr
CatOrat	Cato,CatoOrationumFragmenta_CatOrat
CatOrig	Cato,CatoOrigines_CatOrig
CatFrag	Cato,CatoFragmentaReliqua_CatFrag
QCurt08	Curtius,CurtiusHistoriaeAlexandriMagni_QCurt08
QCurt09	Curtius,CurtiusHistoriaeAlexandriMagni_QCurt09
QCurt03	Curtius,CurtiusHistoriaeAlexandriMagni_QCurt03
QCurt10	Curtius,CurtiusHistoriaeAlexandriMagni_QCurt10
QCurt04	Curtius,CurtiusHistoriaeAlexandriMagni_QCurt04
QCurt05	Curtius,CurtiusHistoriaeAlexandriMagni_QCurt05
QCurt07	Curtius,CurtiusHistoriaeAlexandriMagni_QCurt07
QCurt06	Curtius,CurtiusHistoriaeAlexandriMagni_QCurt06
OviRemed	Ovidius,RemediaAmoris_OviRemed
OviEpist	Ovidius,HeroidumEpistulae_OviEpist
OviIbin	Ovidius,InIbin_OviIbin
OviAmor2	Ovidius,Amores_OviAmor2
OviAmor3	Ovidius,Amores_OviAmor3
OvFasti1	Ovidius,Fasti_OvFasti1
OvFasti3	Ovidius,Fasti_OvFasti3
OviAmor1	Ovidius,Amores_OviAmor1
OvFasti2	Ovidius,Fasti_OvFasti2
OvFasti6	Ovidius,Fasti_OvFasti6
OviArsA1	Ovidius,ArsAmatoria_OviArsA1
OviArsA3	Ovidius,ArsAmatoria_OviArsA3
OvFasti5	Ovidius,Fasti_OvFasti5
OvFasti4	Ovidius,Fasti_OvFasti4
OviArsA2	Ovidius,ArsAmatoria_OviArsA2
OviHalie	Ovidius,Halieutica_OviHalie
OviMedic	Ovidius,MedicaminaFacieiFemineae_OviMedic
PersiusS	Persius,PersiusSatirae_PersiusS
LucrDRN4	Lucretius,DeRerumNatura_LucrDRN4
LucrDRN5	Lucretius,DeRerumNatura_LucrDRN5
LucrDRN6	Lucretius,DeRerumNatura_LucrDRN6
LucrDRN2	Lucretius,DeRerumNatura_LucrDRN2
LucrDRN3	Lucretius,DeRerumNatura_LucrDRN3
LucrDRN1	Lucretius,DeRerumNatura_LucrDRN1
TibEleg1	Tibullus,TibElegiae_TibEleg1
TibEleg2	Tibullus,TibElegiae_TibEleg2
TibEleg3	Tibullus,TibElegiae_TibEleg3
Propert4	Propertius,PropertiusElegiae_Propert4
Propert1	Propertius,PropertiusElegiae_Propert1
Propert3	Propertius,PropertiusElegiae_Propert3
Propert2	Propertius,PropertiusElegiae_Propert2
HirtBG8	Hirtius,Bellum8Gallicum_HirtBG8
BAlex	PseudoCaesar2,BellumAlexandrinum_BAlex
BAfr	PseudoCaesar1,BellumAfricanum_BAfr
BHisp	PseudoCaesar3,BellumHispanum_BHisp
JuvSatur	Juvenalis,JuvSaturae_JuvSatur
Catul	Catullus,Catullus_Catul
